RopeBWT,130073,238.0909
RopeBWT2,201033,244.646
BWT-merge,240232,163.233
RopeBWT (RLO),114135,193.964764
RopeBWT2 (RLO),234904,100.26358
BWT-merge (RLO),194213,91.6701
